c,theta,network,optimal_tau
0.02,0.0,G1,0.0389076830466812
0.02,0.0,G2,0.4115596715648924
0.02,0.0,G3,0.215792930430756
0.02,0.1,G1,0.0330934128532087
0.02,0.1,G2,0.32357688182553634
0.02,0.1,G3,0.18266746068773881
0.02,0.2,G1,0.028188134935477657
0.02,0.2,G2,0.25608819418959755
0.02,0.2,G3,0.1548968540042908
0.02,0.30000000000000004,G1,0.02405368590252266
0.02,0.30000000000000004,G2,0.2044107533496373
0.02,0.30000000000000004,G3,0.13163407451421816
0.02,0.4,G1,0.020584231678142047
0.02,0.4,G2,0.16494938292419573
0.02,0.4,G3,0.1121705770501666
0.02,0.5,G1,0.01767776098923083
0.02,0.5,G2,0.13491355582059808
0.02,0.5,G3,0.09590993782618598
0.02,0.6000000000000001,G1,0.015255729324970699
0.02,0.6000000000000001,G2,0.11208629210558195
0.02,0.6000000000000001,G3,0.08235662244743236
0.02,0.7000000000000001,G1,0.013242100574621269
0.02,0.7000000000000001,G2,0.09467861477914633
0.02,0.7000000000000001,G3,0.07108412192454241
0.02,0.8,G1,0.01157144337902464
0.02,0.8,G2,0.08126468645324209
0.02,0.8,G3,0.06172092895871963
0.02,0.9,G1,0.010189582965471034
0.02,0.9,G2,0.0707683544414935
0.02,0.9,G3,0.05394242941012385
0.02,1.0,G1,0.009038016656876572
0.02,1.0,G2,0.062411842196137206
0.02,1.0,G3,0.04746630897124047
0.02,1.1,G1,0.00807678293331437
0.02,1.1,G2,0.055647494063449036
0.02,1.1,G3,0.042067807971908316
0.02,1.2000000000000002,G1,0.007267102614698506
0.02,1.2000000000000002,G2,0.05009799627594091
0.02,1.2000000000000002,G3,0.03755540219257911
0.02,1.3,G1,0.00658337204109601
0.02,1.3,G2,0.04548538871064324
0.02,1.3,G3,0.03377237664164295
0.02,1.4000000000000001,G1,0.005997017346377949
0.02,1.4000000000000001,G2,0.041608449826769096
0.02,1.4000000000000001,G3,0.030579193457718656
0.02,1.5,G1,0.005492860565945216
0.02,1.5,G2,0.03832171793038504
0.02,1.5,G3,0.02787278545147441
0.02,1.6,G1,0.005058656701283124
0.02,1.6,G2,0.035510360646841765
0.02,1.6,G3,0.025557636833425698
0.02,1.7000000000000002,G1,0.004682144281550655
0.02,1.7000000000000002,G2,0.03308691681791385
0.02,1.7000000000000002,G3,0.023566991668140788
0.02,1.8,G1,0.004351759003401354
0.02,1.8,G2,0.030981736483294355
0.02,1.8,G3,0.021842603445004553
0.02,1.9000000000000001,G1,0.0040606518764297215
0.02,1.9000000000000001,G2,0.029142862716107512
0.02,1.9000000000000001,G3,0.020343163331760266
0.02,2.0,G1,0.003804678713079804
0.02,2.0,G2,0.027528796111863284
0.02,2.0,G3,0.019025564682745966
0.04,0.0,G1,0.03967028143213676
0.04,0.0,G2,0.41962976432917676
0.04,0.0,G3,0.2200257085277062
0.04,0.1,G1,0.03386168709092857
0.04,0.1,G2,0.3317297598325362
0.04,0.1,G3,0.18692579902204506
0.04,0.2,G1,0.028973077514880517
0.04,0.2,G2,0.2645088267873541
0.04,0.2,G3,0.1592434646842333
0.04,0.30000000000000004,G1,0.0248752592873386
0.04,0.30000000000000004,G2,0.21330906315215137
0.04,0.30000000000000004,G3,0.13613855502844693
0.04,0.4,G1,0.02145031109294285
0.04,0.4,G2,0.17450745040783777
0.04,0.4,G3,0.11690151672403389
0.04,0.5,G1,0.01860454097288567
0.04,0.5,G2,0.14521772563840385
0.04,0.5,G3,0.10093597960359604
0.04,0.6000000000000001,G1,0.016252043503310467
0.04,0.6000000000000001,G2,0.1230871249255796
0.04,0.6000000000000001,G3,0.08772342600206509
0.04,0.7000000000000001,G1,0.014310381355224762
0.04,0.7000000000000001,G2,0.10622053372876253
0.04,0.7000000000000001,G3,0.07681495180577523
0.04,0.8,G1,0.012707374406827312
0.04,0.8,G2,0.09317000888477904
0.04,0.8,G3,0.06780601110045685
0.04,0.9,G1,0.01137946900286317
0.04,0.9,G2,0.08288946652628777
0.04,0.9,G3,0.060352637823922806
0.04,1.0,G1,0.010271510656404238
0.04,1.0,G2,0.07463989974129116
0.04,1.0,G3,0.054158338541266414
0.04,1.1,G1,0.00934180962164243
0.04,1.1,G2,0.06791548982939617
0.04,1.1,G3,0.048979848461254645
0.04,1.2000000000000002,G1,0.008552315522774596
0.04,1.2000000000000002,G2,0.062354441036746096
0.04,1.2000000000000002,G3,0.04462480913389602
0.04,1.3,G1,0.007878247011118694
0.04,1.3,G2,0.05769419687285802
0.04,1.3,G3,0.04093823960809258
0.04,1.4000000000000001,G1,0.007297339366142598
0.04,1.4000000000000001,G2,0.05374936251747987
0.04,1.4000000000000001,G3,0.03779618175481871
0.04,1.5,G1,0.006794410037177333
0.04,1.5,G2,0.050375134674701574
0.04,1.5,G3,0.03510199565231399
0.04,1.6,G1,0.006358443238622567
0.04,1.6,G2,0.04746659695616375
0.04,1.6,G3,0.032773212826486195
0.04,1.7000000000000002,G1,0.005974921571126871
0.04,1.7000000000000002,G2,0.04493868988705169
0.04,1.7000000000000002,G3,0.03074974302919869
0.04,1.8,G1,0.005636977322134098
0.04,1.8,G2,0.0427243511868444
0.04,1.8,G3,0.028981582203939343
0.04,1.9000000000000001,G1,0.005336721880957973
0.04,1.9000000000000001,G2,0.04077696114181306
0.04,1.9000000000000001,G3,0.02742711902713964
0.04,2.0,G1,0.005071094536010498
0.04,2.0,G2,0.03905230858343353
0.04,2.0,G3,0.02605008193956263
0.06,0.0,G1,0.040433090942520754
0.06,0.0,G2,0.4276967514095894
0.06,0.0,G3,0.2242572417026415
0.06,0.1,G1,0.03462978290502644
0.06,0.1,G2,0.3398771401772301
0.06,0.1,G3,0.19118339511486654
0.06,0.2,G1,0.029757573059281048
0.06,0.2,G2,0.27290325365783635
0.06,0.2,G3,0.16358269417515675
0.06,0.30000000000000004,G1,0.025687398559402167
0.06,0.30000000000000004,G2,0.22211030017133218
0.06,0.30000000000000004,G3,0.1406195822399834
0.06,0.4,G1,0.02230375032720065
0.06,0.4,G2,0.1838203224087662
0.06,0.4,G3,0.12157485634878044
0.06,0.5,G1,0.019506354393505614
0.06,0.5,G2,0.15503995265994144
0.06,0.5,G3,0.10584563429115292
0.06,0.6000000000000001,G1,0.017203048516591962
0.06,0.6000000000000001,G2,0.13332377874203064
0.06,0.6000000000000001,G3,0.09288838270311596
0.06,0.7000000000000001,G1,0.015310382603138759
0.06,0.7000000000000001,G2,0.11673879175651976
0.06,0.7000000000000001,G3,0.08222727651273198
0.06,0.8,G1,0.01374493198650793
0.06,0.8,G2,0.10385585304016724
0.06,0.8,G3,0.07344167415526287
0.06,0.9,G1,0.012446349023577725
0.06,0.9,G2,0.09365366926342998
0.06,0.9,G3,0.06617487046665205
0.06,1.0,G1,0.01135970140745931
0.06,1.0,G2,0.08542960093643079
0.06,1.0,G3,0.0601251418640485
0.06,1.1,G1,0.010444400122891283
0.06,1.1,G2,0.07869505623625167
0.06,1.1,G3,0.055055350837453595
0.06,1.2000000000000002,G1,0.009663415006873703
0.06,1.2000000000000002,G2,0.0730974462677364
0.06,1.2000000000000002,G3,0.050772081448650794
0.06,1.3,G1,0.008995896581967186
0.06,1.3,G2,0.06838775506782796
0.06,1.3,G3,0.04713016388918447
0.06,1.4000000000000001,G1,0.008418238125570238
0.06,1.4000000000000001,G2,0.06438106069662035
0.06,1.4000000000000001,G3,0.04400865512255761
0.06,1.5,G1,0.00791408429313181
0.06,1.5,G2,0.06093991870774761
0.06,1.5,G3,0.041314172636633124
0.06,1.6,G1,0.007475523164228845
0.06,1.6,G2,0.05796089999736353
0.06,1.6,G3,0.03897173066151084
0.06,1.7000000000000002,G1,0.007086928802241975
0.06,1.7000000000000002,G2,0.055361553472883664
0.06,1.7000000000000002,G3,0.0369254267919355
0.06,1.8,G1,0.006745584690126848
0.06,1.8,G2,0.05307910342050714
0.06,1.8,G3,0.0351269535317165
0.06,1.9000000000000001,G1,0.006440449034623652
0.06,1.9000000000000001,G2,0.05105853701396777
0.06,1.9000000000000001,G3,0.033537539434161906
0.06,2.0,G1,0.00616708441936758
0.06,2.0,G2,0.049265791019849556
0.06,2.0,G3,0.032127118249307175
0.08,0.0,G1,0.04119546598807368
0.08,0.0,G2,0.43576686058069103
0.08,0.0,G3,0.22848842419220655
0.08,0.1,G1,0.035397482011649536
0.08,0.1,G2,0.34801879207866415
0.08,0.1,G3,0.19543866122415232
0.08,0.2,G1,0.030541991136946358
0.08,0.2,G2,0.2812718645187233
0.08,0.2,G3,0.16791830812005754
0.08,0.30000000000000004,G1,0.026495772442620334
0.08,0.30000000000000004,G2,0.23083326757908454
0.08,0.30000000000000004,G3,0.14507931973492177
0.08,0.4,G1,0.023147342329642908
0.08,0.4,G2,0.19295327372294535
0.08,0.4,G3,0.12620683545608616
0.08,0.5,G1,0.02039029396280033
0.08,0.5,G2,0.16454717571564184
0.08,0.5,G3,0.11067160918544769
0.08,0.6000000000000001,G1,0.018123524603105203
0.08,0.6000000000000001,G2,0.14310709281523404
0.08,0.6000000000000001,G3,0.09791251389241616
0.08,0.7000000000000001,G1,0.01626123751156671
0.08,0.7000000000000001,G2,0.12669635503666712
